CELLNAME,INSTCOUNT,LOWERLEFT_X,LOWERLEFT_Y,WIDTH,HEIGHT,DEVCOUNT,FUBLIST,INSTCOUNT SUMMARY
giopcidinvp600n380_s,1350,3480,-7830,0.116,1.566,2,giopcichunk,datap->(1350)
giopcidinvp600n450,140,2320,-7830,0.464,1.566,4,giopcichunk,datap->(140)
giopcidinvp740n570,20,2320,-7830,0.464,1.566,4,giopcichunk,datap->(20)
giopcidinvp760n560,40,2320,-7830,0.464,1.566,4,giopcichunk,datap->(40)
giopcidinvp800n600,40,2320,-7830,0.464,1.566,4,giopcichunk,datap->(40)
giopcidnanp410n350,40,2320,-7830,0.464,1.566,4,giopcichunk,datap->(40)
giopcidnanp800n600,80,2320,-7830,0.696,1.566,8,giopcichunk,datap->(80)
giopcidtsp140n120,20,2320,-7830,0.464,1.566,4,giopcichunk,datap->(20)
giopcidtsp760n560,20,1160,-7830,0.696,1.566,8,giopcichunk,datap->(20)
giopciinvvxxp0_6n0_45_s,40,1160,-7830,0.232,1.566,4,giopcichunk,datap->(40)
giopcilan00nb0f0,100,580,-7830,2.03,1.566,22,giopcichunk,datap->(100)
giopcioclkbuf,40,0,-7830,2.088,1.566,28,giopcichunk,datap->(40)
giopciqdivbuf_decap,180,0,0,0.464,1.566,4,giopcichunk,datap->(180)
giopcitsp1200n760,360,-3480,-7830,0.928,1.566,9,giopcichunk,datap->(360)
giopciy80dcp0annz08_tap,3490,0,-7830,0.928,1.566,0,giopcichunk,datap->(3490)
giopciy80dcp0annz08_tap_m2,2490,0,-7830,0.928,1.566,0,giopcichunk,datap->(2490)
gmola001ln0i4,9856,0,-7830,1.16,1.566,10,mollaryd:molraryd,regf->(9856)
gmola010ln001,8256,0,-7830,0.696,1.566,6,mollaryd:molraryd,regf->(8256)
gmola101ln005,320,0,-7830,1.508,1.566,12,molraryd,regf->(320)
gmola501ln005,64,0,-7830,1.508,1.566,12,molraryd,regf->(64)
go_nand3_f0,8,0,-7830,1.276,1.566,15,mpgodlatd,datap->(8)
gsr_local_fid,92,0,-7830,1.856,1.566,0,bpbimodalm:bptargettrgm:cbbenm:dcibtagd:dcl1bankd:dsbdata23d:dsbdata45d:dsbofsetm:fpmwtreefd:giodmi:giopcichunk:idqued:mccmuxd:mlprefd:mlsqbd:mlstlruarym:moslaryd:mpiorddbd:mpvtdefaztlbd:msram:pmsnddatam:pmsndtagm:rseumtxc:rsfpprflc:rsimmc:rssched:rsuopc:sishiftd:x8idv1up:x8idvamif:x8idviomif:x8idvwmif,datap->(31) regf->(61)
