YG CELL NAME,YG NOMINAL CELL NAME,YG WIDTH,YG HEIGHT,YG DEVCOUNT
yg0bfr10ln1f0,yg0bfr10nn1f0,1.276,1.566,15
yg0bfr10ln1f3,yg0bfr10nn1f3,1.276,1.566,15
yg0bfr10ln1f5,yg0bfr10nn1f5,1.392,1.566,17
yg0bfr10ln1f7,yg0bfr10nn1f7,1.624,1.566,19
yg0bfr10ln1g0,yg0bfr10nn1g0,1.74,1.566,22
yg0bfr10ln1g3,yg0bfr10nn1g3,1.972,1.566,25
yg0bfr10ln1g5,yg0bfr10nn1g5,2.088,1.566,26
yg0bfr10ln1g7,yg0bfr10nn1g7,2.32,1.566,30
yg0bfr10ln1h0,yg0bfr10nn1h0,2.784,1.566,37
yg0bfr10ln1h3,yg0bfr10nn1h3,3.016,1.566,41
yg0bfr10ln1h5,yg0bfr10nn1h5,3.248,1.566,44
yg0bfr10ln1h7,yg0bfr10nn1h7,3.828,1.566,52
yg0bfr10ln1i0,yg0bfr10nn1i0,4.408,1.566,63
yg0bfr10ln1i3,yg0bfr10nn1i3,4.872,1.566,66
yg0bfr10ln1i5,yg0bfr10nn1i5,6.032,1.566,82
yg0bfr10ln1i7,yg0bfr10nn1i7,6.38,1.566,88
yg0bfr10ln1j0,yg0bfr10nn1j0,7.424,1.566,104
yg0bfr10ln1j3,yg0bfr10nn1j3,8.236,1.566,114
yg0bfr10ln1j5,yg0bfr10nn1j5,9.164,1.566,126
yg0bfr10nn1c0,yg0bfr10nn1c0,0.58,1.566,4
yg0bfr10nn1c3,yg0bfr10nn1c3,0.58,1.566,4
yg0bfr10nn1c5,yg0bfr10nn1c5,0.58,1.566,6
yg0bfr10nn1c7,yg0bfr10nn1c7,0.58,1.566,6
yg0bfr10nn1d0,yg0bfr10nn1d0,0.58,1.566,6
yg0bfr10nn1d3,yg0bfr10nn1d3,0.696,1.566,6
yg0bfr10nn1d5,yg0bfr10nn1d5,0.696,1.566,6
yg0bfr10nn1d7,yg0bfr10nn1d7,0.812,1.566,8
yg0bfr10nn1e0,yg0bfr10nn1e0,0.812,1.566,8
yg0bfr10nn1e3,yg0bfr10nn1e3,0.812,1.566,8
yg0bfr10nn1e5,yg0bfr10nn1e5,0.928,1.566,9
yg0bfr10nn1e7,yg0bfr10nn1e7,0.928,1.566,11
yg0bfr10nn1f0,yg0bfr10nn1f0,1.276,1.566,15
yg0bfr10nn1f3,yg0bfr10nn1f3,1.276,1.566,15
yg0bfr10nn1f5,yg0bfr10nn1f5,1.392,1.566,17
yg0bfr10nn1f7,yg0bfr10nn1f7,1.624,1.566,19
yg0bfr10nn1g0,yg0bfr10nn1g0,1.74,1.566,22
yg0bfr10nn1g3,yg0bfr10nn1g3,1.972,1.566,25
yg0bfr10nn1g5,yg0bfr10nn1g5,2.088,1.566,26
yg0bfr10nn1g7,yg0bfr10nn1g7,2.32,1.566,30
yg0bfr10nn1h0,yg0bfr10nn1h0,2.784,1.566,37
yg0bfr10nn1h3,yg0bfr10nn1h3,3.016,1.566,41
yg0bfr10nn1h5,yg0bfr10nn1h5,3.248,1.566,44
