AI CELL NAME,ai0cld WIDTH,ai0cld HEIGHT,ai0study WIDTH,ai0study HEIGHT,ai3study WIDTH,ai3study HEIGHT,ai7study WIDTH,ai7study HEIGHT
ai0inn60nnpd7,,,0.36,1.14,,,,
ai0inn60nnpg5,,,0.9,1.14,,,,
ai0inn60nnpg7,,,0.99,1.14,,,,
ai0kam06nd0e0,,,2.16,2.28,,,,
ai0kom02nn0b0,,,0.72,1.14,,,,
ai0lab01nnha0,,,0.72,1.14,,,,
ai0lab01nnhg0,,,0.9,1.14,,,,
ai0lan00lnhb5,,,1.08,1.14,,,,
ai0lan00lnhc0,,,1.08,1.14,,,,
ai0lan00lnhd0,,,1.08,1.14,,,,
ai0lan00nnhc0,,,1.08,1.14,,,,
ai0lan00nnhe0,,,1.17,1.14,,,,
ai0lan00nnhf3,,,1.53,1.14,,,,
ai0lan00nnhf5,,,1.62,1.14,,,,
ai0lan00nnhf7,,,1.8,1.14,,,,
ai0lan00nnhg0,,,1.8,1.14,,,,
ai0lan00nnhg5,,,2.16,1.14,,,,
ai0lan00nnhh0,,,2.79,1.14,,,,
ai0lan80nnhf0,,,1.53,1.14,,,,
ai0lan90nnhc0,,,0.99,1.14,,,,
ai0lan90nnhc3,,,0.99,1.14,,,,
ai0lmb12nnhe0,,,2.07,1.14,,,,
ai0lmb12nnhf0,,,2.52,1.14,,,,
ai0lmb13nnhc0,,,2.25,1.14,,,,
ai0lmb13nnhf0,,,2.88,1.14,,,,
ai0lmc13nnhc0,,,1.8,1.14,,,,
ai0lmc13nnhe0,,,2.16,1.14,,,,
ai0lmc13nnhf0,,,2.34,1.14,,,,
ai0lmc15ndhg0,,,2.07,2.28,,,,
ai0lmc16nnhd0,,,2.7,1.14,,,,
ai0lmn12ndhe0,,,1.44,2.28,,,,
ai0lmn12ndhe5,,,1.44,2.28,,,,
ai0lmn12ndhf5,,,1.8,2.28,,,,
ai0lmn12ndhg5,,,1.8,2.28,,,,
ai0lmn13ndhf5,,,1.98,2.28,,,,
ai0lmn13ndhg5,,,2.16,2.28,,,,
ai0ltx10nnhc5,,,2.16,1.14,,,,
ai0lun10nnhe0,,,0.9,1.14,,,,
ai0lun10nnhh7,,,2.25,1.14,,,,
ai0lun90nnhd5,,,0.9,1.14,,,,
ai0lun90nnhe5,,,1.08,1.14,,,,
ai0mbn22lnha0,,,0.99,1.14,,,,
ai0mbn22lnhb0,,,0.99,1.14,,,,
ai0mbn22lnhc0,,,0.9,1.14,,,,
ai0mbn22lnhc5,,,0.99,1.14,,,,
ai0mbn22lnhc7,,,0.99,1.14,,,,
ai0mbn22lnhd0,,,0.99,1.14,,,,
ai0mbn22lnhe0,,,1.26,1.14,,,,
ai0mbn22lnhf0,,,1.8,1.14,,,,
ai0mbn22ndhh0,,,1.98,2.28,,,,
ai0mbn22nnha0,,,0.99,1.14,,,,
ai0mbn22nnha5,,,0.9,1.14,,,,
ai0mbn22nnhb0,,,0.99,1.14,,,,
ai0mbn22nnhc0,,,0.9,1.14,,,,
