Toolset	Type	Date	Summary
mat1.5.9.p1	Fixed	2019-08-05	Upgraded kits_7nm version from 19.2.1.3 to 19.2.2.p5 to resolve issue with unset G_MW_TECH_FILE. @dfa(kits_7nm upgrade) @toolset(mat1.5.9.p1) @public
all	Improved	2019-08-05	Updated check_stdcell_verilog.pl to write error sheet to report xlsx.  Refactored POD and other minor items. @dfa(check_stdcell_verilog.pl xlsx improvement) @toolset(all)
all	Improved	2019-08-05	Added default febe finalized track pattern for p1276.x, all toolsets. Stubbed out placeholder for the g1m family.  @dfa(added p1276 track pattern) @toolset(all)
all	Improved	2019-08-05	Added default febe finalized track pattern for p1273.x, all toolsets.  @dfa(added p1273 track pattern) @toolset(all)
all	Improved	2019-08-05	Added default febe finalized track pattern for p1222.x, all toolsets.  @dfa(added p1222 track pattern) @toolset(all)
all	Improved	2019-07-28	Added p1276.31 to the CommonToolOVR_be_toolset.pm for create_new_toolset.pl. Additional comments added. @dfa(create_new_toolset.pm update) @toolset(all)
all	Improved	2019-07-28	Updated generated collateral. TDD clean. @dfa(updated generated collateral) @toolset(all)
m1713f.p6	Fixed	2019-07-28	TDD fix. Properly registered patches for m1713f.p6 and mat1.5.9.p1. @dfa(tdd test failure fix) @toolset(m1713f.p6) @toolset(mat1.5.9.p1)
mat1.5.9.p1	Fixed	2019-07-28	TDD fix. Properly registered patches for m1713f.p6 and mat1.5.9.p1. @dfa(tdd test failure fix) @toolset(m1713f.p6) @toolset(mat1.5.9.p1)
mat1.5.9.p1	New	2019-07-28	Activated p1276.31 technology for MTL and GNR. Backend configuration is based on mat1.5.9 p1276.21. Intention is to use hdk1.5.11 p1266.31 collateral. @dfa(activated p1276.31 technology) @toolset(mat1.5.9.p1) @public
mat1.5.9.p1	Improved	2019-07-28	Eliminated requirement of special hack to mix e05 and ec0pp60 families to support the ec0pp60glbclk libs. ec0pp60glbclk ldb no longer referenced in ctech_exp e05 family as of mat1.5.9.p1. @dfa(eliminated hack for e05) @toolset(mat1.5.9.p1) @public
mat1.5.9.p1	Improved	2019-07-28	Upgraded ctech_exp for p1274.13 from ctech_exp_c3v19ww19f_mat159p0_p1274d7_sip_sbx to ctech_exp_c3v19ww29f_mat159p1_p1274d13_sip_sbx. Adds support for ctech_exp function ctech_lib_msff_async_rst for p1274. Retired ctech_exp functions requiring ec0*glbclk* libraries. @dfa(ctech_exp upgrade for mat1.5.9.p1) @toolset(mat1.5.9.p1) @public @hsd(https://hsdes.intel.com/appstore/article/#/1409520931) @hsd(https://hsdes.intel.com/appstore/article/#/1409536822)
mat1.5.9.p1	Improved	2019-07-28	Upgraded ctech for p1274.13 from c3v19ww19f_mat159p0_p1274d13_sip_sbx to c3v19ww29d_mat159p1_p1274d13_sip_sbx.  No function changes, improved testing applied only. @dfa(ctech upgrade) @toolset(mat1.5.9.p1) @public
mat1.5.9.p1	Improved	2019-07-28	Upgraded ctech_exp for non-p1274.13 tech from ctech_exp_c3v19ww19f_mat159p0_p1274d7_sip_sbx to ctech_exp_c3v19ww29f_mat159p1_p1274d7_sip_sbx. Adds support for ctech_exp function ctech_lib_msff_async_rst for p1274. Retired ctech_exp functions requiring ec0*glbclk* libraries. @dfa(ctech_exp upgrade for mat1.5.9.p1) @toolset(mat1.5.9.p1) @public @hsd(https://hsdes.intel.com/appstore/article/#/1409520931) @hsd(https://hsdes.intel.com/appstore/article/#/1409536822)
