Flow,Error Code,finish,lor1_signoff,Comment,Description
DVE,FM_42,disable,enable,Floating metal1 rules not handled by fub-finish. Not in DRCD (in ipall flow),FM_42: floating metal4 not connected to diff or gate with facing edge > FM_42
DVE,FM_43,disable,enable,Floating metal1 rules not handled by fub-finish. Not in DRCD (in ipall flow),FM_43: area of floating metal4 not connected to diff or gate > FM_43 with facing edge > 0
DVE,FM_51,disable,enable,Floating metal1 rules not handled by fub-finish. Not in DRCD (in ipall flow),FM_51: floating metal5 area with or without facing edge not connected to  diff or gate > FM_51
DVE,FM_52,disable,enable,Floating metal1 rules not handled by fub-finish. Not in DRCD (in ipall flow),FM_52: floating metal5 not connected to diff or gate with facing edge > FM_52
DVE,FM_53,disable,enable,Floating metal1 rules not handled by fub-finish. Not in DRCD (in ipall flow),FM_53: area of floating metal5 not connected to diff or gate > FM_53 with facing edge > 0
DVE,FM_61,disable,enable,Floating metal1 rules not handled by fub-finish. Not in DRCD (in ipall flow),FM_61: floating metal6 area with or without facing edge not connected to  diff or gate > FM_61
DVE,FM_62,disable,enable,Floating metal1 rules not handled by fub-finish. Not in DRCD (in ipall flow),FM_62: floating metal6 not connected to diff or gate with facing edge > FM_62
DVE,FM_63,disable,enable,Floating metal1 rules not handled by fub-finish. Not in DRCD (in ipall flow),FM_63: area of floating metal6 not connected to diff or gate > FM_63 with facing edge > 0
DVE,FM_71,disable,enable,Floating metal1 rules not handled by fub-finish. Not in DRCD (in ipall flow),FM_71: floating metal7 area with or without facing edge not connected to  diff or gate > FM_71
DVE,FM_72,disable,enable,Floating metal1 rules not handled by fub-finish. Not in DRCD (in ipall flow),FM_72: floating metal7 not connected to diff or gate with facing edge > FM_72
DVE,FM_73,disable,enable,Floating metal1 rules not handled by fub-finish. Not in DRCD (in ipall flow),FM_73: area of floating metal7 not connected to diff or gate > FM_73 with facing edge > 0
DVE,FM_81,disable,enable,Floating metal1 rules not handled by fub-finish. Not in DRCD (in ipall flow),FM_81: floating metal8 area with or without facing edge not connected to  diff or gate > FM_81
DVE,FM_82,disable,enable,Floating metal1 rules not handled by fub-finish. Not in DRCD (in ipall flow),FM_82: floating metal8 not connected to diff or gate with facing edge > FM_82
DVE,FM_83,disable,enable,Floating metal1 rules not handled by fub-finish. Not in DRCD (in ipall flow),FM_83: area of floating metal8 not connected to diff or gate > FM_83 with facing edge > 0
DVE,fntap,enable,enable,,fntap: fntap - floating N pickup in nwell
DVE,GD_01,disable,disable,Density rules not handled by migration (Penryn metalfill),GD_01: global pdiff density < GD_01
DVE,GD_02/pdiff_not_gate,disable,disable,Density rules not handled by migration (Penryn metalfill),GD_02/pdiff_not_gate: global pdiff density > GD_02
DVE,GD_03,disable,disable,Density rules not handled by migration (Penryn metalfill),GD_03: global ndiff density < GD_03
DVE,GD_04/ndiff_not_gate,disable,disable,Density rules not handled by migration (Penryn metalfill),GD_04/ndiff_not_gate: global ndiff density > GD_04
DVE,GD_21,disable,disable,Density rules not handled by migration (Penryn metalfill),GD_21: global metal1 density < GD_21
DVE,GD_22,disable,disable,Density rules not handled by migration (Penryn metalfill),GD_22: global metal2 density < GD_22
DVE,GD_23,disable,disable,Density rules not handled by migration (Penryn metalfill),GD_23: global metal3 density < GD_23
DVE,GD_24,disable,disable,Density rules not handled by migration (Penryn metalfill),GD_24: global metal4 density < GD_24
DVE,GD_25,disable,disable,Density rules not handled by migration (Penryn metalfill),GD_25: global metal5 density < GD_25
DVE,GD_26,disable,disable,Density rules not handled by migration (Penryn metalfill),GD_26: global metal6 density < GD_26
DVE,GD_27,disable,disable,Density rules not handled by migration (Penryn metalfill),GD_27: global metal7 density < GD_27
DVE,GD_28,disable,disable,Density rules not handled by migration (Penryn metalfill),GD_28: global metal8 density < GD_28
DVE,GD_29,disable,disable,Density rules not handled by migration (Penryn metalfill),GD_29: global metal9 density < GD_29
DVE,GD_31/metal1,disable,disable,Density rules not handled by migration (Penryn metalfill),GD_31/metal1: global metal1 density > GD_31
DVE,GD_31/metal2,disable,disable,Density rules not handled by migration (Penryn metalfill),GD_31/metal2: global metal2 density > GD_31
DVE,GD_31/metal3,disable,disable,Density rules not handled by migration (Penryn metalfill),GD_31/metal3: global metal3 density > GD_31
DVE,GD_31/metal4,disable,disable,Density rules not handled by migration (Penryn metalfill),GD_31/metal4: global metal4 density > GD_31
DVE,GD_31/metal5,disable,disable,Density rules not handled by migration (Penryn metalfill),GD_31/metal5: global metal5 density > GD_31
DVE,GD_31/metal6,disable,disable,Density rules not handled by migration (Penryn metalfill),GD_31/metal6: global metal6 density > GD_31
DVE,GD_31/metal7,disable,disable,Density rules not handled by migration (Penryn metalfill),GD_31/metal7: global metal7 density > GD_31
DVE,GD_31/metal8,disable,disable,Density rules not handled by migration (Penryn metalfill),GD_31/metal8: global metal8 density > GD_31
DVE,GD_32/metal9,disable,disable,Density rules not handled by migration (Penryn metalfill),GD_32/metal9: global metal9 density > GD_32
DVE,gnacerr,enable,enable,,gnacerr: pgated nacid layer overlaps the pgate area
DVE,gnacerr,enable,enable,,gnacerr: nngate area not completely enclosed by gated nacid layer
DVE,illdev,enable,enable,,illdev: illdev - illegal device formation - ngate in well
DVE,illdev,enable,enable,,illdev: illdev - illegal device formation - pgate not well
DVE,illdev,enable,enable,,illdev: illdev - illegal device formation - nwell and wellres_id
DVE,illdev,enable,enable,,illdev: illdev - illegal device formation - gate and wellres_id
DVE,illdev,enable,enable,,illdev: illdev - illegal device formation - gate and pres_id
DVE,illdev,enable,enable,,illdev: illdev - illegal device formation - polycon and pres_id
DVE,illdev,enable,enable,,illdev: illdev - illegal device formation - diff_w_id not poly
DVE,illdev,enable,enable,,illdev: illdev - illegal device formation - via0 and met1resid
DVE,illdev,enable,enable,,illdev: illdev - illegal device formation - via1 and met1resid
DVE,illdev,enable,enable,,illdev: illdev - illegal device formation - via1 and met2resid
DVE,illdev,enable,enable,,illdev: illdev - illegal device formation - via2 and met2resid
DVE,illdev,enable,enable,,illdev: illdev - illegal device formation - via2 and met3resid
DVE,illdev,enable,enable,,illdev: illdev - illegal device formation - via3 and met3resid
DVE,illdev,enable,enable,,illdev: illdev - illegal device formation - via3 and met4resid
DVE,illdev,enable,enable,,illdev: illdev - illegal device formation - via4 and met4resid
DVE,illdev,enable,enable,,illdev: illdev - illegal device formation - via4 and met5resid
DVE,illdev,enable,enable,,illdev: illdev - illegal device formation - via5 and met5resid
DVE,illdev,enable,enable,,illdev: illdev - illegal device formation - via5 and met6resid
DVE,illdev,enable,enable,,illdev: illdev - illegal device formation - via6 and met6resid
DVE,illdev,enable,enable,,illdev: illdev - illegal device formation - via6 and met7resid
DVE,illdev,enable,enable,,illdev: illdev - illegal device formation - via7 and met7resid
DVE,illdev,enable,enable,,illdev: illdev - illegal device formation - via7 and met8resid
DVE,illdev,enable,enable,,illdev: illdev - illegal device formation - via8 and met8resid
DVE,illdev,enable,enable,,illdev: illdev - illegal device formation - via8 and met9resid
DVE,illdev,enable,enable,,illdev: illdev - illegal device formation - via9 and met9resid
DVE,illdev,enable,enable,,illdev: illdev - illegal device formation - vdgate and polycon
DVE,IP_00,disable,enable,"NAC rules not handled by migration (Penryn enac, if required)",IP_00: max ratio of gcn+tcn area to ngate+pgate not connected to a discharge device > IP_00
DVE,IP_01,disable,enable,"NAC rules not handled by migration (Penryn enac, if required)",IP_01: max ratio of field_poly to gate area > IP_01
DVE,IP_02,disable,enable,"NAC rules not handled by migration (Penryn enac, if required)",IP_02: max ratio of polycon to ngate area > IP_02
DVE,IP_04,disable,enable,"NAC rules not handled by migration (Penryn enac, if required)",IP_04: max ratio of polycon to pgate area > IP_04
DVE,IP_06,disable,enable,"NAC rules not handled by migration (Penryn enac, if required)",IP_06: max ratio of metal1 area to ngate+pgate not connected to a discharge device > IP_06
DVE,IP_07,disable,enable,"NAC rules not handled by migration (Penryn enac, if required)",IP_07: max ratio of metal2 area to ngate+pgate not connected to a discharge device > IP_07
DVE,IP_08,disable,enable,"NAC rules not handled by migration (Penryn enac, if required)",IP_08: max ratio of metal3 area to ngate+pgate not connected to a discharge device > IP_08
DVE,IP_09,disable,enable,"NAC rules not handled by migration (Penryn enac, if required)",IP_09: max ratio of metal4 area to ngate+pgate not connected to a discharge device > IP_09
DVE,IP_10,disable,enable,"NAC rules not handled by migration (Penryn enac, if required)",IP_10: max ratio of metal5 area to ngate+pgate not connected to a discharge device > IP_10
DVE,IP_100,disable,enable,"NAC rules not handled by migration (Penryn enac, if required)",IP_100: max ratio of gcn+tcn area to only ngate not connected to a discharge device > IP_100
DVE,IP_101,disable,enable,"NAC rules not handled by migration (Penryn enac, if required)",IP_101: max ratio of metal1 area to only ngate not connected to a discharge device > IP_101
DVE,IP_102,disable,enable,"NAC rules not handled by migration (Penryn enac, if required)",IP_102: max ratio of metal2 area to only ngate not connected to a discharge device > IP_102
DVE,IP_103,disable,enable,"NAC rules not handled by migration (Penryn enac, if required)",IP_103: max ratio of metal3 area to only ngate not connected to a discharge device > IP_103
DVE,IP_104,disable,enable,"NAC rules not handled by migration (Penryn enac, if required)",IP_104: max ratio of metal4 area to only ngate not connected to a discharge device > IP_104
