Flow,Error Code,lor1,Comment,Description
DVE,illdev,enable,,illdev: illdev - illegal device formation - polycon and pres_id
DVE,illdev,enable,,illdev: illdev - illegal device formation - diff_w_id not poly
DVE,illdev,enable,,illdev: illdev - illegal device formation - via0 and met1resid
DVE,illdev,enable,,illdev: illdev - illegal device formation - via1 and met1resid
DVE,illdev,enable,,illdev: illdev - illegal device formation - via1 and met2resid
DVE,illdev,enable,,illdev: illdev - illegal device formation - via2 and met2resid
DVE,illdev,enable,,illdev: illdev - illegal device formation - via2 and met3resid
DVE,illdev,enable,,illdev: illdev - illegal device formation - via3 and met3resid
DVE,illdev,enable,,illdev: illdev - illegal device formation - via3 and met4resid
DVE,illdev,enable,,illdev: illdev - illegal device formation - via4 and met4resid
DVE,illdev,enable,,illdev: illdev - illegal device formation - via4 and met5resid
DVE,illdev,enable,,illdev: illdev - illegal device formation - via5 and met5resid
DVE,illdev,enable,,illdev: illdev - illegal device formation - via5 and met6resid
DVE,illdev,enable,,illdev: illdev - illegal device formation - via6 and met6resid
DVE,illdev,enable,,illdev: illdev - illegal device formation - via6 and met7resid
DVE,illdev,enable,,illdev: illdev - illegal device formation - via7 and met7resid
DVE,illdev,enable,,illdev: illdev - illegal device formation - via7 and met8resid
DVE,illdev,enable,,illdev: illdev - illegal device formation - via8 and met8resid
DVE,illdev,enable,,illdev: illdev - illegal device formation - via8 and met9resid
DVE,illdev,enable,,illdev: illdev - illegal device formation - via9 and met9resid
DVE,illdev,enable,,illdev: illdev - illegal device formation - vdgate and polycon
DVE,IP_00,enable,,IP_00: max ratio of gcn+tcn area to ngate+pgate not connected to a discharge device > IP_00
DVE,IP_01,enable,,IP_01: max ratio of field_poly to gate area > IP_01
DVE,IP_02,enable,,IP_02: max ratio of polycon to ngate area > IP_02
DVE,IP_04,enable,,IP_04: max ratio of polycon to pgate area > IP_04
DVE,IP_06,enable,,IP_06: max ratio of metal1 area to ngate+pgate not connected to a discharge device > IP_06
DVE,IP_07,enable,,IP_07: max ratio of metal2 area to ngate+pgate not connected to a discharge device > IP_07
DVE,IP_08,enable,,IP_08: max ratio of metal3 area to ngate+pgate not connected to a discharge device > IP_08
DVE,IP_09,enable,,IP_09: max ratio of metal4 area to ngate+pgate not connected to a discharge device > IP_09
DVE,IP_10,enable,,IP_10: max ratio of metal5 area to ngate+pgate not connected to a discharge device > IP_10
DVE,IP_100,enable,,IP_100: max ratio of gcn+tcn area to only ngate not connected to a discharge device > IP_100
DVE,IP_101,enable,,IP_101: max ratio of metal1 area to only ngate not connected to a discharge device > IP_101
DVE,IP_102,enable,,IP_102: max ratio of metal2 area to only ngate not connected to a discharge device > IP_102
DVE,IP_103,enable,,IP_103: max ratio of metal3 area to only ngate not connected to a discharge device > IP_103
DVE,IP_104,enable,,IP_104: max ratio of metal4 area to only ngate not connected to a discharge device > IP_104
DVE,IP_105,enable,,IP_105: max ratio of metal5 area to only ngate not connected to a discharge device > IP_105
DVE,IP_106,enable,,IP_106: max ratio of metal6 area to only ngate not connected to a discharge device > IP_106
DVE,IP_107,enable,,IP_107: max ratio of metal7 area to only ngate not connected to a discharge device > IP_107
DVE,IP_108,enable,,IP_108: max ratio of metal8 area to only ngate not connected to a discharge device > IP_108
DVE,IP_109,enable,,IP_109: max ratio of metal9 area to only ngate not connected to a discharge device > IP_109
DVE,IP_11,enable,,IP_11: max ratio of metal1 area to ngate connected to only drain > IP_11
DVE,IP_12,enable,,IP_12: max ratio of metal2 area to ngate connected to only drain > IP_12
DVE,IP_13,enable,,IP_13: max ratio of metal3 area to ngate connected to only drain > IP_13
DVE,IP_14,enable,,IP_14: max ratio of metal4 area to ngate connected to only drain > IP_14
DVE,IP_15,enable,,IP_15: max ratio of metal5 area to ngate connected to only drain > IP_15
DVE,IP_16,enable,,IP_16: max ratio of metal6 area to ngate connected to only drain > IP_16
DVE,IP_17,enable,,IP_17: max ratio of metal7 area to ngate connected to only drain > IP_17
DVE,IP_18,enable,,IP_18: max ratio of metal8 area to ngate connected to only drain > IP_18
DVE,IP_19,enable,,IP_19: max ratio of metal9 area to ngate connected to only drain > IP_19
DVE,IP_20,enable,,IP_20: max ratio of gcn+tcn area to only pgate not connected to a discharge device > IP_20
DVE,IP_21,enable,,IP_21: max ratio of metal1 area to only pgate not connected to a discharge device > IP_21
DVE,IP_22,enable,,IP_22: max ratio of metal2 area to only pgate not connected to a discharge device > IP_22
DVE,IP_23,enable,,IP_23: max ratio of metal3 area to only pgate not connected to a discharge device > IP_23
DVE,IP_24,enable,,IP_24: max ratio of metal4 area to only pgate not connected to a discharge device > IP_24
DVE,IP_25,enable,,IP_25: max ratio of metal5 area to only pgate not connected to a discharge device > IP_25
DVE,IP_26,enable,,IP_26: max ratio of metal6 area to only pgate not connected to a discharge device > IP_26
DVE,IP_27,enable,,IP_27: max ratio of metal7 area to only pgate not connected to a discharge device > IP_27
DVE,IP_28,enable,,IP_28: max ratio of metal8 area to only pgate not connected to a discharge device > IP_28
DVE,IP_29,enable,,IP_29: max ratio of metal9 area to only pgate not connected to a discharge device > IP_29
DVE,IP_31,enable,,IP_31: max ratio of metal1 area to pgate connected to only drain > IP_31
DVE,IP_32,enable,,IP_32: max ratio of metal2 area to pgate connected to only drain > IP_32
DVE,IP_33,enable,,IP_33: max ratio of metal3 area to pgate connected to only drain > IP_33
DVE,IP_34,enable,,IP_34: max ratio of metal4 area to pgate connected to only drain > IP_34
DVE,IP_35,enable,,IP_35: max ratio of metal5 area to pgate connected to only drain > IP_35
DVE,IP_36,enable,,IP_36: max ratio of metal6 area to pgate connected to only drain > IP_36
DVE,IP_37,enable,,IP_37: max ratio of metal7 area to pgate connected to only drain > IP_37
DVE,IP_38,enable,,IP_38: max ratio of metal8 area to pgate connected to only drain > IP_38
DVE,IP_39,enable,,IP_39: max ratio of metal9 area to pgate connected to only drain > IP_39
DVE,IP_40,enable,,IP_40: max ratio of via0 area to ngate not connected to a discharge device > IP_40
DVE,IP_41,enable,,IP_41: max ratio of via1 area to ngate not connected to a discharge device > IP_41
DVE,IP_42,enable,,IP_42: max ratio of via2 area to ngate not connected to a discharge device > IP_42
DVE,IP_43,enable,,IP_43: max ratio of via3 area to ngate not connected to a discharge device > IP_43
DVE,IP_44,enable,,IP_44: max ratio of via4 area to ngate not connected to a discharge device > IP_44
DVE,IP_45,enable,,IP_45: max ratio of via5 area to ngate not connected to a discharge device > IP_45
DVE,IP_46,enable,,IP_46: max ratio of via6 area to ngate not connected to a discharge device > IP_46
DVE,IP_47,enable,,IP_47: max ratio of via7 area to ngate not connected to a discharge device > IP_47
DVE,IP_48,enable,,IP_48: max ratio of via8 area to ngate not connected to a discharge device > IP_48
DVE,IP_49,enable,,IP_49: max ratio of metal6 area to ngate+pgate not connected to a discharge device > IP_49
DVE,IP_50,enable,,IP_50: max ratio of via0 area to ngate connected to a discharge device > IP_50
DVE,IP_51,enable,,IP_51: max ratio of via1 area to ngate connected to a discharge device > IP_51
DVE,IP_52,enable,,IP_52: max ratio of via2 area to ngate connected to a discharge device > IP_52
DVE,IP_53,enable,,IP_53: max ratio of via3 area to ngate connected to a discharge device > IP_53
DVE,IP_54,enable,,IP_54: max ratio of via4 area to ngate connected to a discharge device on a non vcc*/vss* node > IP_54
DVE,IP_55,enable,,IP_55: max ratio of via5 area to ngate connected to a discharge device on a non vcc*/vss* node > IP_55
DVE,IP_56,enable,,IP_56: max ratio of via6 area to ngate connected to a discharge device on a non vcc*/vss* node > IP_56
DVE,IP_57,enable,,IP_57: max ratio of via7 area to ngate connected to a discharge device on a non vcc*/vss* node > IP_57
DVE,IP_58,enable,,IP_58: max ratio of via8 area to ngate connected to a discharge device on a non vcc*/vss* node > IP_58
DVE,IP_59,enable,,IP_59: max ratio of metal7 area to ngate+pgate not connected to a discharge device > IP_59
DVE,IP_60,enable,,IP_60: max ratio of via0 area to pgate not connected to a discharge device > IP_60
DVE,IP_61,enable,,IP_61: max ratio of via1 area to pgate not connected to a discharge device > IP_61
DVE,IP_62,enable,,IP_62: max ratio of via2 area to pgate not connected to a discharge device > IP_62
DVE,IP_63,enable,,IP_63: max ratio of via3 area to pgate not connected to a discharge device > IP_63
DVE,IP_64,enable,,IP_64: max ratio of via4 area to pgate not connected to a discharge device > IP_64
DVE,IP_65,enable,,IP_65: max ratio of via5 area to pgate not connected to a discharge device > IP_65
DVE,IP_66,enable,,IP_66: max ratio of via6 area to pgate not connected to a discharge device > IP_66
DVE,IP_67,enable,,IP_67: max ratio of via7 area to pgate not connected to a discharge device > IP_67
DVE,IP_68,enable,,IP_68: max ratio of via8 area to pgate not connected to a discharge device > IP_68
DVE,IP_69,enable,,IP_69: max ratio of metal8 area to ngate+pgate not connected to a discharge device > IP_69
DVE,IP_70,enable,,IP_70: max ratio of via0 area to pgate connected to a discharge device > IP_70
DVE,IP_71,enable,,IP_71: max ratio of via1 area to pgate connected to a discharge device > IP_71
DVE,IP_72,enable,,IP_72: max ratio of via2 area to pgate connected to a discharge device > IP_72
